DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2024-12-03 14:49:30.933000+00:00,-1334,-226,-273
2024-12-03 14:49:30.937000+00:00,-1310,-222,-250
2024-12-03 14:49:30.941000+00:00,-1264,-230,-172
2024-12-03 14:49:30.945000+00:00,-1256,-257,-144
2024-12-03 14:49:30.949000+00:00,-1236,-250,-113
2024-12-03 14:49:30.953000+00:00,-1225,-254,-109
2024-12-03 14:49:30.956000+00:00,-1201,-254,-113
2024-12-03 14:49:30.960000+00:00,-1201,-257,-137
2024-12-03 14:49:30.964000+00:00,-1186,-289,-152
2024-12-03 14:49:30.968000+00:00,-1174,-296,-172
2024-12-03 14:49:30.972000+00:00,-1162,-316,-187
2024-12-03 14:49:30.976000+00:00,-1158,-332,-191
2024-12-03 14:49:30.980000+00:00,-1162,-374,-176
2024-12-03 14:49:30.984000+00:00,-1158,-382,-160
2024-12-03 14:49:30.988000+00:00,-1143,-417,-148
2024-12-03 14:49:30.992000+00:00,-1135,-429,-129
2024-12-03 14:49:30.996000+00:00,-1112,-495,-133
2024-12-03 14:49:30.999000+00:00,-1112,-523,-140
2024-12-03 14:49:31.003000+00:00,-1092,-569,-168
2024-12-03 14:49:31.007000+00:00,-1076,-589,-172
2024-12-03 14:49:31.011000+00:00,-1014,-620,-203
2024-12-03 14:49:31.015000+00:00,-979,-616,-230
2024-12-03 14:49:31.019000+00:00,-932,-628,-234
2024-12-03 14:49:31.023000+00:00,-897,-640,-246
2024-12-03 14:49:31.027000+00:00,-831,-640,-257
2024-12-03 14:49:31.031000+00:00,-788,-624,-269
2024-12-03 14:49:31.035000+00:00,-710,-663,-300
2024-12-03 14:49:31.039000+00:00,-675,-702,-293
2024-12-03 14:49:31.042000+00:00,-608,-764,-293
2024-12-03 14:49:31.046000+00:00,-581,-788,-285
2024-12-03 14:49:31.050000+00:00,-538,-827,-242
2024-12-03 14:49:31.054000+00:00,-511,-858,-242
2024-12-03 14:49:31.058000+00:00,-476,-901,-215
2024-12-03 14:49:31.062000+00:00,-452,-909,-199
2024-12-03 14:49:31.066000+00:00,-425,-932,-199
2024-12-03 14:49:31.070000+00:00,-402,-940,-207
2024-12-03 14:49:31.074000+00:00,-406,-956,-191
2024-12-03 14:49:31.078000+00:00,-398,-956,-183
2024-12-03 14:49:31.081000+00:00,-378,-983,-195
2024-12-03 14:49:31.085000+00:00,-363,-995,-203
2024-12-03 14:49:31.089000+00:00,-359,-1034,-250
2024-12-03 14:49:31.093000+00:00,-351,-1069,-261
2024-12-03 14:49:31.097000+00:00,-335,-1154,-281
2024-12-03 14:49:31.101000+00:00,-312,-1178,-293
2024-12-03 14:49:31.105000+00:00,-293,-1193,-343
2024-12-03 14:49:31.109000+00:00,-285,-1182,-359
2024-12-03 14:49:31.113000+00:00,-254,-1162,-374
2024-12-03 14:49:31.117000+00:00,-234,-1166,-402
2024-12-03 14:49:31.121000+00:00,-203,-1162,-417
2024-12-03 14:49:31.124000+00:00,-183,-1151,-429
2024-12-03 14:49:31.128000+00:00,-168,-1139,-464
2024-12-03 14:49:31.132000+00:00,-98,-1100,-519
2024-12-03 14:49:31.136000+00:00,-82,-1092,-511
2024-12-03 14:49:31.140000+00:00,-51,-1084,-527
2024-12-03 14:49:31.144000+00:00,-23,-1076,-527
2024-12-03 14:49:31.148000+00:00,8,-1061,-546
2024-12-03 14:49:31.152000+00:00,31,-1061,-507
2024-12-03 14:49:31.156000+00:00,47,-1061,-519
2024-12-03 14:49:31.160000+00:00,39,-1061,-507
2024-12-03 14:49:31.164000+00:00,74,-1065,-503
2024-12-03 14:49:31.167000+00:00,82,-1049,-495
2024-12-03 14:49:31.171000+00:00,78,-1034,-491
2024-12-03 14:49:31.175000+00:00,98,-995,-503
2024-12-03 14:49:31.179000+00:00,90,-987,-519
2024-12-03 14:49:31.183000+00:00,94,-979,-527
2024-12-03 14:49:31.187000+00:00,105,-948,-562
2024-12-03 14:49:31.191000+00:00,98,-936,-589
2024-12-03 14:49:31.195000+00:00,105,-905,-581
2024-12-03 14:49:31.199000+00:00,94,-897,-581
2024-12-03 14:49:31.203000+00:00,144,-839,-577
2024-12-03 14:49:31.206000+00:00,133,-819,-573
2024-12-03 14:49:31.210000+00:00,125,-784,-566
2024-12-03 14:49:31.214000+00:00,113,-776,-562
2024-12-03 14:49:31.218000+00:00,90,-749,-569
2024-12-03 14:49:31.222000+00:00,74,-741,-593
2024-12-03 14:49:31.226000+00:00,62,-702,-628
2024-12-03 14:49:31.230000+00:00,62,-690,-644
2024-12-03 14:49:31.234000+00:00,31,-644,-679
2024-12-03 14:49:31.238000+00:00,12,-632,-675
2024-12-03 14:49:31.242000+00:00,-4,-593,-683
