DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2024-12-03 14:49:30.648000+00:00,-686,-109,-651
2024-12-03 14:49:30.652000+00:00,-683,-117,-636
2024-12-03 14:49:30.656000+00:00,-675,-101,-640
2024-12-03 14:49:30.660000+00:00,-675,-121,-632
2024-12-03 14:49:30.664000+00:00,-675,-98,-612
2024-12-03 14:49:30.667000+00:00,-675,-113,-593
2024-12-03 14:49:30.671000+00:00,-663,-125,-589
2024-12-03 14:49:30.675000+00:00,-651,-160,-589
2024-12-03 14:49:30.679000+00:00,-651,-168,-597
2024-12-03 14:49:30.683000+00:00,-663,-144,-577
2024-12-03 14:49:30.687000+00:00,-663,-140,-593
2024-12-03 14:49:30.691000+00:00,-686,-129,-605
2024-12-03 14:49:30.695000+00:00,-698,-129,-597
2024-12-03 14:49:30.699000+00:00,-706,-117,-605
2024-12-03 14:49:30.703000+00:00,-710,-125,-620
2024-12-03 14:49:30.706000+00:00,-714,-117,-616
2024-12-03 14:49:30.710000+00:00,-722,-117,-624
2024-12-03 14:49:30.714000+00:00,-710,-117,-647
2024-12-03 14:49:30.718000+00:00,-706,-144,-663
2024-12-03 14:49:30.722000+00:00,-690,-137,-616
2024-12-03 14:49:30.726000+00:00,-679,-137,-632
2024-12-03 14:49:30.730000+00:00,-683,-137,-624
2024-12-03 14:49:30.734000+00:00,-679,-148,-655
2024-12-03 14:49:30.738000+00:00,-675,-109,-659
2024-12-03 14:49:30.742000+00:00,-675,-113,-667
2024-12-03 14:49:30.746000+00:00,-663,-125,-698
2024-12-03 14:49:30.749000+00:00,-659,-113,-702
2024-12-03 14:49:30.753000+00:00,-663,-113,-714
2024-12-03 14:49:30.757000+00:00,-671,-113,-710
2024-12-03 14:49:30.761000+00:00,-667,-129,-737
2024-12-03 14:49:30.765000+00:00,-667,-140,-733
2024-12-03 14:49:30.769000+00:00,-659,-148,-725
2024-12-03 14:49:30.773000+00:00,-667,-140,-733
2024-12-03 14:49:30.777000+00:00,-659,-129,-749
2024-12-03 14:49:30.781000+00:00,-663,-109,-749
2024-12-03 14:49:30.785000+00:00,-659,-98,-753
2024-12-03 14:49:30.789000+00:00,-671,-90,-745
2024-12-03 14:49:30.792000+00:00,-667,-117,-745
2024-12-03 14:49:30.796000+00:00,-663,-121,-741
2024-12-03 14:49:30.800000+00:00,-683,-113,-722
2024-12-03 14:49:30.804000+00:00,-690,-125,-722
2024-12-03 14:49:30.808000+00:00,-686,-98,-718
2024-12-03 14:49:30.812000+00:00,-675,-105,-714
2024-12-03 14:49:30.816000+00:00,-671,-98,-710
2024-12-03 14:49:30.820000+00:00,-671,-94,-722
2024-12-03 14:49:30.824000+00:00,-675,-113,-729
2024-12-03 14:49:30.828000+00:00,-706,-101,-714
2024-12-03 14:49:30.831000+00:00,-655,-101,-749
2024-12-03 14:49:30.835000+00:00,-651,-90,-749
2024-12-03 14:49:30.839000+00:00,-663,-70,-722
2024-12-03 14:49:30.843000+00:00,-632,-94,-729
2024-12-03 14:49:30.847000+00:00,-667,-117,-702
2024-12-03 14:49:30.851000+00:00,-663,-129,-710
2024-12-03 14:49:30.855000+00:00,-663,-121,-710
2024-12-03 14:49:30.859000+00:00,-651,-105,-722
2024-12-03 14:49:30.863000+00:00,-667,-74,-722
2024-12-03 14:49:30.867000+00:00,-663,-70,-710
2024-12-03 14:49:30.871000+00:00,-647,-62,-718
2024-12-03 14:49:30.874000+00:00,-647,-70,-718
2024-12-03 14:49:30.878000+00:00,-644,-90,-698
2024-12-03 14:49:30.882000+00:00,-640,-98,-686
2024-12-03 14:49:30.886000+00:00,-624,-109,-671
2024-12-03 14:49:30.890000+00:00,-624,-109,-671
2024-12-03 14:49:30.894000+00:00,-612,-94,-640
2024-12-03 14:49:30.898000+00:00,-616,-101,-640
2024-12-03 14:49:30.902000+00:00,-620,-101,-640
2024-12-03 14:49:30.906000+00:00,-616,-113,-675
2024-12-03 14:49:30.910000+00:00,-636,-101,-675
2024-12-03 14:49:30.914000+00:00,-640,-86,-679
2024-12-03 14:49:30.917000+00:00,-640,-90,-686
2024-12-03 14:49:30.921000+00:00,-651,-101,-671
2024-12-03 14:49:30.925000+00:00,-644,-144,-667
2024-12-03 14:49:30.929000+00:00,-624,-160,-679
